
Миграционный прирост, человек, значение показателя за год, Всего, Всего
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
Тесовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;5;7;16;1;-31;-33;-52;-23;25;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;6;0;2;-11;-40;-49;-46;-37;12;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-2;-1;-7;-19;-14;-18;-21;-23;5;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;8;1;9;8;-26;-31;-25;-14;7;;;;
международная;;;;;;;;;;;;;
Сельские поселения;-1;7;14;12;9;16;-6;14;13;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;-1;6;13;13;7;16;-6;14;14;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;1;-1;2;;0;;-1;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;7;8;23;20;-17;-15;-31;0;20;;;;
Торковичское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;19;40;5;25;16;-24;-35;-7;-23;-17;4;1;
в пределах России;;;;;;;;;;;;;
Сельские поселения;17;38;1;24;15;-28;-37;-7;-23;-23;1;2;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-8;-7;2;-9;-5;-11;-17;-2;-2;-6;-6;-3;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;25;45;-1;33;20;-17;-20;-5;-21;-17;7;5;
международная;;;;;;;;;;;;;
Сельские поселения;2;2;4;1;1;4;2;0;0;6;3;-1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;1;2;3;1;1;6;2;0;0;6;3;-1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;;1;;;-2;;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;27;47;3;34;21;-13;-18;-5;-21;-11;10;4;
Ретюнское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;50;19;41;-5;8;-4;19;-20;-22;-14;9;-5;
в пределах России;;;;;;;;;;;;;
Сельские поселения;47;7;38;-13;10;-9;4;-32;-16;-16;-5;2;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-7;-7;5;-7;3;-14;4;-13;-10;-9;4;-3;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;54;14;33;-6;7;5;0;-19;-6;-7;-9;5;
международная;;;;;;;;;;;;;
Сельские поселения;3;12;3;8;-2;5;15;12;-6;2;14;-7;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;3;12;3;8;-2;5;14;12;-7;2;13;-7;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;;;;1;0;1;0;1;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;57;26;36;2;5;10;15;-7;-12;-5;5;-2;
Подпорожский муниципальный район;;;;;;;;;;;;;
Подпорожский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;-1;-10;16;84;27;-183;-462;-326;-272;-203;-147;-138;
в пределах России;;;;;;;;;;;;;
Муниципальный район;-71;-104;-61;-19;-38;-158;-444;-321;-267;-178;-166;-151;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;-18;-46;-19;-29;-24;-43;-124;-71;-99;-57;-72;-64;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;-53;-58;-42;10;-14;-115;-320;-250;-168;-121;-94;-87;
международная;;;;;;;;;;;;;
Муниципальный район;70;94;77;103;65;-25;-18;-5;-5;-25;19;13;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;56;92;64;101;63;-20;-16;-14;1;-23;19;15;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;14;2;13;2;2;-5;-2;9;-6;-2;0;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;17;36;35;113;51;-140;-338;-255;-173;-146;-75;-74;
Подпорожское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-60;-4;78;67;13;-128;-279;-192;-101;;-95;-40;
в пределах России;;;;;;;;;;;;;
Городские поселения;-99;-65;27;10;-40;-106;-259;-190;-103;;-108;-36;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-25;-8;44;9;-25;-28;-81;-30;-13;;-37;10;
межрегиональная;;;;;;;;;;;;;
Городские поселения;-74;-57;-17;1;-15;-78;-178;-160;-90;;-71;-46;
международная;;;;;;;;;;;;;
Городские поселения;39;61;51;57;53;-22;-20;-2;2;;13;-4;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;31;59;41;53;47;-19;-18;-9;7;;14;-1;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;8;2;10;4;6;-3;-2;7;-5;;-1;-3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;-35;4;34;58;38;-100;-198;-162;-88;;-58;-50;
Важинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;26;-16;-2;29;44;-27;-69;-98;-94;-76;-27;-41;
в пределах России;;;;;;;;;;;;;
Городские поселения;14;-28;-11;18;37;-23;-64;-94;-89;-74;-29;-47;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;5;-16;-16;3;11;-12;-40;-22;-60;-26;-17;-37;
межрегиональная;;;;;;;;;;;;;
Городские поселения;9;-12;5;15;26;-11;-24;-72;-29;-48;-12;-10;
международная;;;;;;;;;;;;;
Городские поселения;12;12;9;11;7;-4;-5;-4;-5;-2;2;6;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;10;12;9;10;6;-3;-4;-6;-4;-1;2;4;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;2;;;1;1;-1;-1;2;-1;-1;;2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;21;0;14;26;33;-15;-29;-76;-34;-50;-10;-4;
Вознесенское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;46;36;13;35;7;-21;-27;22;1;-50;13;3;
в пределах России;;;;;;;;;;;;;
Городские поселения;41;34;7;26;5;-16;-33;21;0;-47;13;-1;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;17;19;22;21;29;12;8;37;28;-38;11;7;
межрегиональная;;;;;;;;;;;;;
Городские поселения;24;15;-15;5;-24;-28;-41;-16;-28;-9;2;-8;
международная;;;;;;;;;;;;;
Городские поселения;5;2;6;9;2;-5;6;1;1;-3;0;4;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;5;1;6;9;3;-5;6;1;1;-3;0;4;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;;1;;;-1;;;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;29;17;-9;14;-22;-33;-35;-15;-27;-12;2;-4;
Никольское.;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;15;3;-47;-41;13;26;-19;24;-24;-25;-29;-16;
в пределах России;;;;;;;;;;;;;
Городские поселения;7;-6;-50;-51;8;18;-22;21;-22;-21;-26;-26;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;;-18;-53;-32;-6;1;19;-18;-25;-16;-13;-13;
межрегиональная;;;;;;;;;;;;;
Городские поселения;7;12;3;-19;14;17;-41;39;3;-5;-13;-13;
международная;;;;;;;;;;;;;
Городские поселения;8;9;3;10;5;8;3;3;-2;-4;-3;10;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;7;12;4;11;5;7;2;3;-2;-4;-3;11;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;1;-3;-1;-1;;1;1;;;;;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;15;21;6;-9;19;25;-38;42;1;-9;-16;-3;
Винницкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-28;-29;-26;-6;-50;-33;-68;-82;-54;;-9;-44;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-34;-39;-34;-22;-48;-31;-66;-79;-53;;-16;-41;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-15;-23;-16;-30;-33;-16;-30;-38;-29;;-16;-31;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-19;-16;-18;8;-15;-15;-36;-41;-24;;0;-10;
международная;;;;;;;;;;;;;
Сельские поселения;6;10;8;16;-2;-2;-2;-3;-1;;7;-3;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;3;8;4;18;2;0;-2;-3;-1;;6;-3;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;3;2;4;-2;-4;-2;;;;;1;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-13;-6;-10;24;-17;-17;-38;-44;-25;;7;-13;
Приозерский муниципальный район;;;;;;;;;;;;;
Приозерский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;782;836;108;528;-126;-197;-10;-268;-251;126;382;144;
в пределах России;;;;;;;;;;;;;
Муниципальный район;463;28;-241;142;298;-279;-274;-323;-284;18;345;273;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;-77;-87;-188;-54;-40;-189;-178;-301;-219;-153;-106;-96;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;540;115;-53;196;338;-90;-96;-22;-65;171;451;369;
международная;;;;;;;;;;;;;
Муниципальный район;319;808;349;386;-424;82;264;55;33;108;37;-129;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;308;800;335;384;-424;75;268;52;34;110;24;-105;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;11;8;14;2;0;7;-4;3;-1;-2;13;-24;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;859;923;296;582;-86;-8;168;33;-32;279;488;240;
Приозерское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;147;296;122;110;40;-21;62;-144;-197;;233;60;
в пределах России;;;;;;;;;;;;;
Городские поселения;7;54;6;61;37;-88;-131;-103;-108;;274;115;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-26;2;44;51;57;8;-55;-109;-47;;69;-41;
межрегиональная;;;;;;;;;;;;;
Городские поселения;33;52;-38;10;-20;-96;-76;6;-61;;205;156;
международная;;;;;;;;;;;;;
Городские поселения;140;242;116;49;3;67;193;-41;-89;;-41;-55;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;131;240;108;46;3;66;198;-45;-87;;-45;-49;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;9;2;8;3;0;1;-5;4;-2;;4;-6;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;173;294;78;59;-17;-29;117;-35;-150;;164;101;
Кузнечнинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;13;19;-4;7;-30;1;-65;-38;41;-75;-66;-21;
в пределах России;;;;;;;;;;;;;
Городские поселения;-2;9;-24;-8;-30;-9;-63;-51;-34;-17;-56;-10;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-2;-15;-27;-27;-49;-27;-20;-36;-37;-28;-40;-2;
межрегиональная;;;;;;;;;;;;;
Городские поселения;;24;3;19;19;18;-43;-15;3;11;-16;-8;
международная;;;;;;;;;;;;;
Городские поселения;15;10;20;15;0;10;-2;13;75;-58;-10;-11;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;15;9;22;18;3;5;-2;13;76;-58;-10;-10;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;;1;-2;-3;-3;5;0;;-1;;0;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;15;34;23;34;19;28;-45;-2;78;-47;-26;-19;
Севастьяновское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;22;-13;-8;-6;-1;-26;-2;-2;-12;;-37;-7;
в пределах России;;;;;;;;;;;;;
Сельские поселения;19;-14;-10;-9;-2;-25;-2;-10;-17;;-36;-1;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;3;-2;-5;-9;-7;-11;-8;-3;-5;;-26;-7;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;16;-12;-5;0;5;-14;6;-7;-12;;-10;6;
международная;;;;;;;;;;;;;
Сельские поселения;3;1;2;3;1;-1;0;8;5;;-1;-6;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;3;;2;3;1;-2;0;7;5;;;-6;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;;;;1;;1;;;-1;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;19;-11;-3;3;6;-15;6;1;-7;;-11;0;
Раздольевское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;35;52;33;54;-32;-4;-10;50;-34;;30;-3;
в пределах России;;;;;;;;;;;;;
Сельские поселения;34;19;24;35;11;-6;-20;51;-29;;27;4;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;11;2;7;11;7;-1;-20;31;-10;;0;1;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;23;17;17;24;4;-5;0;20;-19;;27;3;
международная;;;;;;;;;;;;;
Сельские поселения;1;33;9;19;-43;2;10;-1;-5;;3;-7;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;1;33;8;19;-43;2;9;-3;-5;;1;-4;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;1;;0;;1;2;;;2;-3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;24;50;26;43;-39;-3;10;19;-24;;30;-4;
Громовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;104;54;-95;-11;-33;1;-20;-28;4;-21;10;9;
в пределах России;;;;;;;;;;;;;
Сельские поселения;86;12;-99;-17;-14;1;-25;-43;1;-22;6;8;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-16;-1;-14;-26;-32;7;-30;-13;0;-11;-11;-1;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;102;13;-85;9;18;-6;5;-30;1;-11;17;9;
международная;;;;;;;;;;;;;
Сельские поселения;18;42;4;6;-19;0;5;15;3;1;4;1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;18;42;4;4;-19;1;5;13;3;1;3;1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;2;;-1;;2;0;;1;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;120;55;-81;15;-1;-6;10;-15;4;-10;21;10;
Запорожское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;35;74;16;57;32;7;19;-3;8;29;8;29;
в пределах России;;;;;;;;;;;;;
Сельские поселения;37;39;16;47;41;7;2;-3;16;30;4;24;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-7;7;-7;16;4;1;-9;-23;-5;1;-6;-8;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;44;32;23;31;37;6;11;20;21;29;10;32;
международная;;;;;;;;;;;;;
Сельские поселения;-2;35;;10;-9;0;17;0;-8;-1;4;5;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;;35;;9;-10;0;17;1;-6;0;4;5;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;-2;;;1;1;;0;-1;-2;-1;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;42;67;23;41;28;6;28;20;13;28;14;37;
Красноозерное;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;10;24;-2;37;-4;-9;18;0;-34;;18;42;
в пределах России;;;;;;;;;;;;;
Сельские поселения;10;12;-4;8;15;-8;13;2;-35;;10;35;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-4;3;-10;-3;-5;-4;3;-1;-13;;-4;-1;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;14;9;6;11;20;-4;10;3;-22;;14;36;
международная;;;;;;;;;;;;;
Сельские поселения;;12;2;29;-19;-1;5;-2;1;;8;7;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;;12;2;29;-19;-1;5;-2;1;;8;7;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;14;21;8;40;1;-5;15;1;-21;;22;43;
Ларионовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-1;9;-64;-57;-92;-41;-32;-20;-46;-9;-12;34;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-35;-66;-93;-115;-93;-53;-43;-40;-40;-12;-22;43;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-29;-38;-78;-41;-40;-58;-25;-17;-40;-3;-8;20;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-6;-28;-15;-74;-53;5;-18;-23;0;-9;-14;23;
международная;;;;;;;;;;;;;
Сельские поселения;34;75;29;58;1;12;11;20;-6;3;10;-9;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;32;73;25;58;0;12;13;19;-8;3;6;-8;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;2;4;0;1;;-2;1;2;;4;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;28;47;14;-16;-52;17;-7;-3;-6;-6;-4;14;
Мельниковское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;23;40;85;46;-96;-31;47;2;-6;-3;4;24;
в пределах России;;;;;;;;;;;;;
Сельские поселения;18;26;16;10;0;-23;35;-5;-6;-8;-1;21;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;2;0;-2;-2;-13;-16;0;-19;-1;-5;-11;-1;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;16;26;18;12;13;-7;35;14;-5;-3;10;22;
международная;;;;;;;;;;;;;
Сельские поселения;5;14;69;36;-96;-8;12;7;0;5;5;3;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;4;15;69;36;-96;-8;12;7;0;5;5;3;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;-1;;;;;;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;21;40;87;48;-83;-15;47;21;-5;2;15;25;
Мичуринское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;21;63;14;28;11;11;2;-12;-6;-12;-24;-8;
в пределах России;;;;;;;;;;;;;
Сельские поселения;20;19;11;29;24;4;3;-5;-21;-10;-23;-1;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-1;-7;-2;0;0;-15;-7;-4;-19;-11;-16;-11;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;21;26;13;29;24;19;10;-1;-2;1;-7;10;
международная;;;;;;;;;;;;;
Сельские поселения;1;44;3;-1;-13;7;-1;-7;15;-2;-1;-7;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;1;44;3;-1;-15;8;-1;-7;12;-2;-1;-7;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;;2;-1;;;3;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;22;70;16;28;11;26;9;-8;13;-1;-8;3;
Ромашкинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;177;-163;-202;-56;121;-51;-40;-27;-45;-2;-15;-58;
в пределах России;;;;;;;;;;;;;
Сельские поселения;134;-207;-192;-102;127;-56;-53;-42;-48;-28;-25;-35;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;2;-37;-43;-9;30;-57;-13;-35;-35;-60;-55;-30;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;132;-170;-149;-93;97;1;-40;-7;-13;32;30;-5;
международная;;;;;;;;;;;;;
Сельские поселения;43;44;-10;46;-6;5;13;15;3;26;10;-23;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;41;43;-12;43;-7;2;14;17;4;25;12;-20;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;1;2;3;1;3;-1;-2;-1;1;-2;-3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;175;-126;-159;-47;91;6;-27;8;-10;58;40;-28;
Плодовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;47;72;32;51;59;19;-22;-21;-34;5;-26;6;
в пределах России;;;;;;;;;;;;;
Сельские поселения;33;57;17;44;41;13;-14;-29;-17;3;-25;14;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-5;-4;-14;8;6;9;2;-13;-3;15;-44;13;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;38;61;31;36;35;4;-16;-16;-14;-12;19;1;
международная;;;;;;;;;;;;;
Сельские поселения;14;15;15;7;18;6;-8;8;-17;2;-1;-8;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;14;14;16;7;19;6;-8;8;-17;1;-4;-4;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;-1;;-1;;;;;1;3;-4;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;52;76;46;43;53;10;-24;-8;-31;-10;18;-7;
Петровское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;7;13;5;19;26;-12;-11;-3;14;;39;-27;
в пределах России;;;;;;;;;;;;;
Сельские поселения;7;10;-4;20;17;-14;-13;-12;13;;31;-23;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-5;-1;-12;-13;-7;-3;-15;-16;1;;-6;-17;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;12;11;8;33;24;-11;2;4;12;;37;-6;
международная;;;;;;;;;;;;;
Сельские поселения;;3;9;-1;9;2;2;9;1;;8;-4;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;-1;3;9;1;8;3;2;8;1;;8;-4;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;;;-2;1;-1;;1;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;12;14;17;32;33;-9;4;13;13;;45;-10;
Сосновское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;142;296;176;249;-127;-41;44;-22;96;45;220;64;
в пределах России;;;;;;;;;;;;;
Сельские поселения;95;58;95;139;124;-22;37;-33;41;49;181;79;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;;4;-25;-10;9;-22;19;-43;-5;-8;52;-11;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;95;54;120;149;115;0;18;10;46;57;129;90;
международная;;;;;;;;;;;;;
Сельские поселения;47;238;81;110;-251;-19;7;11;55;-4;39;-15;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;49;237;79;112;-249;-19;4;16;55;-4;37;-9;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;-2;1;2;-2;-2;0;3;-5;0;0;2;-6;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;142;292;201;259;-136;-19;25;21;101;53;168;75;
Сланцевский муниципальный район;;;;;;;;;;;;;
Сланцевский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;455;635;369;894;203;178;48;181;273;252;615;-56;
в пределах России;;;;;;;;;;;;;
Муниципальный район;185;319;191;321;-37;-64;-199;-121;-75;-146;8;-205;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;-30;-85;-27;-35;-57;-8;-101;-153;-122;-103;-131;-177;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;215;404;218;356;20;-56;-98;32;47;-43;139;-28;
международная;;;;;;;;;;;;;
Муниципальный район;270;316;178;573;240;242;247;302;348;398;607;149;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;261;297;178;543;245;254;253;291;338;389;583;158;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;9;19;0;30;-5;-12;-6;11;10;9;24;-9;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;485;720;396;929;260;186;149;334;395;355;746;121;
Сланцевское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;239;508;332;560;156;238;63;238;233;;533;44;
в пределах России;;;;;;;;;;;;;
Городские поселения;103;303;249;284;10;110;-79;7;3;;116;-83;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-15;-11;77;6;15;69;9;-22;-24;;-27;-105;
межрегиональная;;;;;;;;;;;;;
Городские поселения;118;314;172;278;-5;41;-88;29;27;;143;22;
международная;;;;;;;;;;;;;
Городские поселения;136;205;83;276;146;128;142;231;230;;417;127;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;133;194;86;262;155;141;147;219;222;;404;134;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;3;11;-3;14;-9;-13;-5;12;8;;13;-7;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;254;519;255;554;141;169;54;260;257;;560;149;
Выскатское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;33;11;-56;2;-9;-26;-49;-5;45;;40;-34;
в пределах России;;;;;;;;;;;;;
Сельские поселения;15;-1;-57;-19;-30;-42;-55;-35;-12;;-14;-30;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-3;-13;-44;-15;-29;-20;-36;-32;-41;;-18;-15;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;18;12;-13;-4;-1;-22;-19;-3;29;;4;-15;
международная;;;;;;;;;;;;;
Сельские поселения;18;12;1;21;21;16;6;30;57;;54;-4;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;18;14;1;20;19;16;6;29;57;;52;-4;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;-2;;1;2;0;;1;;;2;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;36;24;-12;17;20;-6;-13;27;86;;58;-19;
Загривское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;3;-3;-12;17;-3;-5;0;8;12;;-24;-6;
в пределах России;;;;;;;;;;;;;
Сельские поселения;1;-8;-14;-5;-3;-6;-3;10;1;;-28;-5;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;;-17;-31;-4;-6;4;4;0;-2;;-30;-5;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;1;9;17;-1;3;-10;-7;10;3;;2;0;
международная;;;;;;;;;;;;;
Сельские поселения;2;5;2;22;0;1;3;-2;11;;4;-1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;1;1;1;22;3;1;3;-1;11;;4;-1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;4;1;;-3;;;-1;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;3;14;19;21;3;-9;-4;8;14;;6;-1;
Новосельское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;99;93;94;259;51;35;22;-22;-22;;53;-47;
в пределах России;;;;;;;;;;;;;
Сельские поселения;16;20;13;42;-8;-37;-25;-70;-51;;-31;-48;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-3;-11;-13;-7;-16;-22;-18;-52;-37;;-13;-24;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;19;31;26;49;8;-15;-7;-18;-14;;-18;-24;
международная;;;;;;;;;;;;;
Сельские поселения;83;73;81;217;59;72;47;48;29;;84;1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;81;73;80;214;60;73;46;45;26;;84;3;
с другими зарубежными странами;;;;;;;;;;;;;
